student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Morgan Taylor,18,13th grade,"art, chemistry","geography, computer science",kinesthetic hands-on learning,17,"improve grades in computer science, excel in art",love solving complex problems,"shows strong analytical thinking, but should work on time management",easy,20,"art: A-, computer science: C",chess club,technology
Avery Brown,16,11th grade,"geography, computer science, physics","mathematics, music",auditory learning through discussions,18,"improve grades in music, excel in physics",love solving complex problems,"good at connecting concepts, but needs more practice with music",challenging,69,"computer science: A, mathematics: C",robotics club,research
Casey Brown,14,9th grade,"chemistry, computer science, geography, literature",biology,visual learning with diagrams and charts,8,"improve grades in biology, excel in literature",enjoy understanding how things work,"demonstrates creativity in problem solving, but should work on time management",medium,52,"geography: B+, biology: C",chess club,engineering
Alex Brown,14,9th grade,"music, literature, chemistry, geography","physics, computer science, biology",reading and writing focused,5,"improve grades in physics, excel in music",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,75,"literature: A-, physics: C+",debate team,medicine
Casey Johnson,17,12th grade,"art, physics","computer science, chemistry",practical problem-solving approach,10,"improve grades in computer science, excel in physics",enjoy understanding how things work,"shows strong analytical thinking, but needs more practice with computer science",medium,30,"physics: A-, computer science: C+",science olympiad,engineering
Morgan Johnson,18,13th grade,"geography, music","physics, mathematics, history",practical problem-solving approach,23,"improve grades in physics, excel in geography",interested in medical career,"good at connecting concepts, but needs to show more work in calculations",medium,63,"music: A-, mathematics: B-",science olympiad,research
Jordan Johnson,15,10th grade,"history, music, mathematics","art, biology",reading and writing focused,17,"improve grades in art, excel in history",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",medium,80,"mathematics: B+, biology: C+",robotics club,research
Quinn Moore,14,9th grade,"literature, mathematics, music, geography","chemistry, history",practical problem-solving approach,24,"improve grades in chemistry, excel in music",enjoy understanding how things work,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,44,"mathematics: A, chemistry: C",robotics club,research
Casey Davis,18,13th grade,"chemistry, geography, physics","art, history",auditory learning through discussions,10,"improve grades in art, excel in chemistry",enjoy understanding how things work,"shows strong analytical thinking, but could improve explanation clarity",medium,55,"chemistry: B+, history: C",robotics club,medicine
Jordan Miller,18,13th grade,"geography, physics, literature, history",art,reading and writing focused,17,"improve grades in art, excel in physics",interested in medical career,"good at connecting concepts, but needs more practice with art",easy,31,"literature: B+, art: C+",art club,research
Casey Moore,15,10th grade,"history, mathematics, computer science",geography,reading and writing focused,15,"improve grades in geography, excel in computer science",interested in medical career,"excellent understanding of computer science, but needs to show more work in calculations",easy,88,"mathematics: A, geography: C",debate team,technology
Riley Wilson,17,12th grade,"music, computer science",mathematics,mixed visual and auditory,8,"improve grades in mathematics, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",easy,62,"music: B+, mathematics: C+",robotics club,medicine
Quinn Miller,17,12th grade,"history, computer science, chemistry, mathematics","geography, literature, music",reading and writing focused,17,"improve grades in geography, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but needs more practice with music",easy,61,"history: A-, music: C",debate team,education
Casey Johnson,15,10th grade,"geography, computer science, chemistry",physics,kinesthetic hands-on learning,23,"improve grades in physics, excel in chemistry",interested in medical career,"shows strong analytical thinking, but needs more practice with physics",easy,65,"computer science: A, physics: C+",art club,research
Casey Moore,18,13th grade,"chemistry, history, biology",mathematics,reading and writing focused,14,"improve grades in mathematics, excel in biology",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,76,"history: A, mathematics: C+",robotics club,engineering
Jordan Brown,17,12th grade,"art, biology, mathematics, computer science","geography, history, literature",reading and writing focused,20,"improve grades in literature, excel in computer science",love solving complex problems,"good at connecting concepts, but needs more practice with geography",challenging,88,"biology: B+, history: C+",chess club,education
Jordan Brown,18,13th grade,"geography, physics, art, history",music,mixed visual and auditory,10,"improve grades in music, excel in history",love solving complex problems,"shows strong analytical thinking, but should work on time management",challenging,40,"geography: A, music: C+",robotics club,education
Alex Wilson,16,11th grade,"art, chemistry, history","mathematics, physics, biology",practical problem-solving approach,22,"improve grades in physics, excel in art",want to help others through science,"good at connecting concepts, but could improve explanation clarity",challenging,88,"history: B+, mathematics: C+",robotics club,medicine
Casey Miller,14,9th grade,"chemistry, computer science",biology,kinesthetic hands-on learning,9,"improve grades in biology, excel in chemistry",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",medium,78,"chemistry: B+, biology: C",debate team,education
Taylor Moore,15,10th grade,"computer science, biology","geography, history, music",auditory learning through discussions,15,"improve grades in history, excel in biology",want to become an engineer,"good at connecting concepts, but needs more practice with geography",challenging,34,"biology: A-, geography: B-",robotics club,research
Avery Davis,16,11th grade,"chemistry, biology, computer science",mathematics,reading and writing focused,8,"improve grades in mathematics, excel in chemistry",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with mathematics",challenging,64,"computer science: B+, mathematics: C",art club,engineering
Avery Taylor,14,9th grade,"literature, history",geography,mixed visual and auditory,9,"improve grades in geography, excel in literature",fascinated by technology and innovation,"shows strong analytical thinking, but needs to show more work in calculations",challenging,54,"literature: B+, geography: C+",art club,technology
Avery Davis,17,12th grade,"geography, literature","computer science, chemistry",kinesthetic hands-on learning,25,"improve grades in computer science, excel in literature",enjoy understanding how things work,"excellent understanding of literature, but needs more practice with computer science",challenging,50,"geography: B+, computer science: C+",robotics club,research
Jordan Moore,18,13th grade,"mathematics, history, chemistry","literature, geography",visual learning with diagrams and charts,24,"improve grades in literature, excel in chemistry",want to become an engineer,"good at connecting concepts, but should work on time management",challenging,87,"chemistry: B+, literature: C",debate team,education
Alex Moore,15,10th grade,"physics, literature",geography,reading and writing focused,17,"improve grades in geography, excel in literature",want to become an engineer,"excellent understanding of literature, but could improve explanation clarity",medium,81,"literature: A, geography: C+",art club,technology
Riley Johnson,15,10th grade,"art, mathematics, geography","music, computer science, physics",mixed visual and auditory,19,"improve grades in computer science, excel in mathematics",love solving complex problems,"good at connecting concepts, but should work on time management",medium,65,"art: A-, music: C",debate team,engineering
Morgan Davis,18,13th grade,"chemistry, history, physics, biology",computer science,reading and writing focused,17,"improve grades in computer science, excel in physics",love solving complex problems,"good at connecting concepts, but needs more practice with computer science",medium,76,"history: A-, computer science: B-",chess club,engineering
Avery Moore,16,11th grade,"biology, physics, music, chemistry",computer science,practical problem-solving approach,15,"improve grades in computer science, excel in physics",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with computer science",medium,82,"chemistry: A-, computer science: C",art club,technology
Riley Johnson,15,10th grade,"physics, mathematics",computer science,practical problem-solving approach,12,"improve grades in computer science, excel in mathematics",enjoy understanding how things work,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,82,"physics: A, computer science: B-",debate team,education
Avery Davis,15,10th grade,"computer science, physics","literature, geography",reading and writing focused,8,"improve grades in literature, excel in computer science",want to help others through science,"excellent understanding of computer science, but should work on time management",medium,24,"physics: A, literature: C",robotics club,education
Casey Davis,15,10th grade,"mathematics, history","literature, geography",kinesthetic hands-on learning,18,"improve grades in geography, excel in mathematics",want to help others through science,"good at connecting concepts, but needs more practice with literature",medium,66,"history: B+, geography: C",debate team,research
Casey Wilson,14,9th grade,"mathematics, music",history,reading and writing focused,13,"improve grades in history, excel in music",interested in medical career,"good at connecting concepts, but could improve explanation clarity",medium,34,"mathematics: B+, history: B-",debate team,research
Jordan Smith,16,11th grade,"literature, art, music, physics","biology, chemistry, computer science",auditory learning through discussions,25,"improve grades in computer science, excel in literature",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with biology",easy,89,"music: B+, chemistry: C",debate team,education
Riley Miller,15,10th grade,"chemistry, biology","history, art",reading and writing focused,25,"improve grades in history, excel in biology",want to become an engineer,"excellent understanding of biology, but should work on time management",challenging,55,"chemistry: A, art: B-",robotics club,medicine
Avery Moore,17,12th grade,"art, music, physics",computer science,reading and writing focused,24,"improve grades in computer science, excel in art",interested in medical career,"shows strong analytical thinking, but needs more practice with computer science",challenging,78,"physics: A-, computer science: C+",science olympiad,research
Morgan Johnson,18,13th grade,"chemistry, biology",literature,practical problem-solving approach,9,"improve grades in literature, excel in chemistry",love solving complex problems,"shows strong analytical thinking, but needs more practice with literature",easy,64,"biology: A, literature: B-",art club,research
Alex Miller,15,10th grade,"music, computer science, literature",geography,auditory learning through discussions,13,"improve grades in geography, excel in computer science",want to become an engineer,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,90,"music: A, geography: C",science olympiad,medicine
Taylor Taylor,18,13th grade,"history, chemistry, geography, physics","music, literature, computer science",visual learning with diagrams and charts,20,"improve grades in music, excel in physics",interested in medical career,"demonstrates creativity in problem solving, but should work on time management",challenging,56,"history: A, literature: C+",chess club,education
Avery Smith,15,10th grade,"chemistry, physics","literature, music",practical problem-solving approach,21,"improve grades in literature, excel in chemistry",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with music",easy,21,"chemistry: A, literature: C+",science olympiad,medicine
Jordan Davis,18,13th grade,"mathematics, physics","geography, art, music",auditory learning through discussions,20,"improve grades in music, excel in physics",interested in medical career,"demonstrates creativity in problem solving, but should work on time management",easy,27,"physics: B+, music: C+",robotics club,engineering
Alex Davis,14,9th grade,"computer science, physics, history, art",chemistry,reading and writing focused,17,"improve grades in chemistry, excel in history",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with chemistry",medium,41,"computer science: A, chemistry: C",science olympiad,engineering
Taylor Brown,18,13th grade,"physics, literature, music",history,reading and writing focused,21,"improve grades in history, excel in music",interested in medical career,"shows strong analytical thinking, but could improve explanation clarity",challenging,56,"literature: A-, history: C",science olympiad,research
Quinn Taylor,14,9th grade,"chemistry, music","biology, computer science",visual learning with diagrams and charts,8,"improve grades in computer science, excel in music",interested in medical career,"shows strong analytical thinking, but should work on time management",medium,65,"music: A-, computer science: C",chess club,education
Quinn Davis,16,11th grade,"biology, history","music, literature",reading and writing focused,7,"improve grades in literature, excel in biology",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with music",easy,22,"history: A, literature: C+",robotics club,research
Casey Davis,16,11th grade,"computer science, geography",art,auditory learning through discussions,6,"improve grades in art, excel in computer science",fascinated by technology and innovation,"excellent understanding of computer science, but needs to show more work in calculations",medium,26,"computer science: A-, art: B-",debate team,engineering
Avery Brown,15,10th grade,"chemistry, physics, biology",mathematics,auditory learning through discussions,20,"improve grades in mathematics, excel in biology",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,63,"physics: A-, mathematics: C+",debate team,engineering
Morgan Wilson,14,9th grade,"chemistry, art, music, mathematics","literature, geography",practical problem-solving approach,12,"improve grades in geography, excel in art",love solving complex problems,"shows strong analytical thinking, but should work on time management",medium,27,"art: A, geography: B-",art club,education
Alex Miller,14,9th grade,"geography, music, literature, art","biology, history, physics",practical problem-solving approach,18,"improve grades in biology, excel in literature",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",easy,50,"literature: B+, biology: C+",robotics club,medicine
Casey Wilson,18,13th grade,"computer science, biology","literature, geography, mathematics",visual learning with diagrams and charts,23,"improve grades in mathematics, excel in computer science",want to help others through science,"excellent understanding of biology, but could improve explanation clarity",easy,59,"computer science: A-, geography: C",art club,medicine
Jordan Brown,16,11th grade,"literature, chemistry, physics","history, art",visual learning with diagrams and charts,23,"improve grades in art, excel in chemistry",want to help others through science,"shows strong analytical thinking, but should work on time management",challenging,79,"literature: B+, history: C+",debate team,medicine
Morgan Miller,15,10th grade,"art, music, literature, biology",chemistry,mixed visual and auditory,18,"improve grades in chemistry, excel in biology",interested in medical career,"shows strong analytical thinking, but needs to show more work in calculations",easy,21,"music: B+, chemistry: C+",chess club,engineering
Riley Miller,17,12th grade,"chemistry, computer science, music",biology,visual learning with diagrams and charts,7,"improve grades in biology, excel in music",enjoy understanding how things work,"good at connecting concepts, but needs to show more work in calculations",challenging,37,"chemistry: A, biology: C",science olympiad,technology
Avery Taylor,17,12th grade,"chemistry, geography, literature, computer science","biology, music, mathematics",kinesthetic hands-on learning,6,"improve grades in mathematics, excel in chemistry",fascinated by technology and innovation,"excellent understanding of geography, but should work on time management",easy,57,"computer science: B+, biology: C",robotics club,medicine
Quinn Smith,17,12th grade,"physics, literature, geography","art, history",visual learning with diagrams and charts,10,"improve grades in art, excel in literature",enjoy understanding how things work,"good at connecting concepts, but needs more practice with history",medium,63,"geography: A, history: B-",chess club,engineering
Casey Miller,16,11th grade,"mathematics, art, chemistry","biology, geography",mixed visual and auditory,6,"improve grades in geography, excel in mathematics",love solving complex problems,"shows strong analytical thinking, but needs more practice with geography",easy,22,"chemistry: A-, geography: C",debate team,engineering
Quinn Moore,15,10th grade,"computer science, history",literature,mixed visual and auditory,11,"improve grades in literature, excel in computer science",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",easy,45,"history: A-, literature: C",art club,medicine
Jordan Brown,17,12th grade,"music, history, mathematics","art, literature, chemistry",kinesthetic hands-on learning,15,"improve grades in art, excel in music",enjoy understanding how things work,"good at connecting concepts, but needs more practice with literature",challenging,72,"history: B+, chemistry: C+",chess club,medicine
Avery Davis,17,12th grade,"music, physics, mathematics, art","biology, literature, geography",kinesthetic hands-on learning,11,"improve grades in biology, excel in music",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",challenging,35,"art: A-, geography: C",chess club,research
Avery Miller,16,11th grade,"history, art, literature, mathematics",computer science,auditory learning through discussions,22,"improve grades in computer science, excel in mathematics",enjoy understanding how things work,"good at connecting concepts, but needs more practice with computer science",easy,33,"history: B+, computer science: C",robotics club,technology
Casey Taylor,18,13th grade,"physics, geography, mathematics, literature","history, biology",mixed visual and auditory,17,"improve grades in history, excel in geography",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,70,"physics: A, biology: B-",science olympiad,research
Alex Brown,16,11th grade,"history, biology, mathematics","physics, music",kinesthetic hands-on learning,21,"improve grades in music, excel in biology",interested in medical career,"shows strong analytical thinking, but needs to show more work in calculations",easy,70,"history: A, music: B-",chess club,medicine
Taylor Smith,17,12th grade,"art, chemistry, history",mathematics,practical problem-solving approach,23,"improve grades in mathematics, excel in history",love solving complex problems,"good at connecting concepts, but should work on time management",easy,31,"art: A, mathematics: B-",art club,medicine
Riley Brown,14,9th grade,"art, physics, history, mathematics","music, biology, literature",auditory learning through discussions,25,"improve grades in music, excel in history",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,26,"history: A, music: B-",robotics club,education
Morgan Wilson,14,9th grade,"geography, physics",biology,auditory learning through discussions,7,"improve grades in biology, excel in physics",love solving complex problems,"excellent understanding of geography, but needs to show more work in calculations",easy,72,"geography: B+, biology: C+",debate team,technology
Alex Smith,17,12th grade,"geography, chemistry, art","mathematics, physics",kinesthetic hands-on learning,16,"improve grades in physics, excel in art",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",easy,44,"art: B+, mathematics: C+",art club,education
Riley Brown,15,10th grade,"literature, physics",mathematics,auditory learning through discussions,7,"improve grades in mathematics, excel in physics",love solving complex problems,"excellent understanding of physics, but could improve explanation clarity",challenging,90,"physics: B+, mathematics: C",chess club,education
Avery Smith,17,12th grade,"computer science, chemistry",history,mixed visual and auditory,23,"improve grades in history, excel in computer science",interested in medical career,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,54,"chemistry: B+, history: C",chess club,medicine
Morgan Moore,18,13th grade,"literature, physics, geography",mathematics,kinesthetic hands-on learning,24,"improve grades in mathematics, excel in physics",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",easy,65,"literature: A, mathematics: B-",science olympiad,research
Casey Taylor,15,10th grade,"physics, mathematics, literature","chemistry, art, computer science",mixed visual and auditory,15,"improve grades in chemistry, excel in literature",want to become an engineer,"shows strong analytical thinking, but should work on time management",easy,55,"literature: B+, computer science: C+",art club,technology
Quinn Taylor,17,12th grade,"literature, biology, art",music,visual learning with diagrams and charts,13,"improve grades in music, excel in literature",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",easy,22,"biology: B+, music: B-",robotics club,technology
Alex Smith,16,11th grade,"history, mathematics","physics, biology, geography",reading and writing focused,8,"improve grades in biology, excel in mathematics",love solving complex problems,"demonstrates creativity in problem solving, but needs more practice with biology",challenging,60,"mathematics: A, geography: C",science olympiad,technology
Alex Brown,17,12th grade,"physics, literature, music, mathematics",chemistry,visual learning with diagrams and charts,15,"improve grades in chemistry, excel in literature",interested in medical career,"good at connecting concepts, but needs more practice with chemistry",challenging,26,"music: A, chemistry: C+",science olympiad,engineering
Quinn Smith,16,11th grade,"music, history, computer science","physics, art, literature",auditory learning through discussions,15,"improve grades in physics, excel in computer science",enjoy understanding how things work,"excellent understanding of computer science, but should work on time management",challenging,81,"computer science: A-, art: C",chess club,medicine
Jordan Smith,14,9th grade,"computer science, physics, literature","music, chemistry, art",reading and writing focused,6,"improve grades in music, excel in computer science",fascinated by technology and innovation,"demonstrates creativity in problem solving, but should work on time management",medium,33,"physics: B+, music: B-",art club,research
Avery Taylor,16,11th grade,"geography, chemistry, physics, music",computer science,mixed visual and auditory,21,"improve grades in computer science, excel in music",interested in medical career,"demonstrates creativity in problem solving, but should work on time management",challenging,59,"geography: A-, computer science: C+",robotics club,medicine
Quinn Miller,14,9th grade,"chemistry, computer science, mathematics","art, geography",kinesthetic hands-on learning,8,"improve grades in art, excel in computer science",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,62,"chemistry: A-, geography: C",robotics club,engineering
Morgan Taylor,17,12th grade,"history, biology, computer science, physics","chemistry, art",mixed visual and auditory,18,"improve grades in chemistry, excel in history",fascinated by technology and innovation,"shows strong analytical thinking, but needs more practice with chemistry",easy,24,"computer science: A, chemistry: B-",robotics club,research
Morgan Taylor,15,10th grade,"history, music, art, mathematics",geography,auditory learning through discussions,10,"improve grades in geography, excel in art",fascinated by technology and innovation,"excellent understanding of art, but needs more practice with geography",easy,84,"mathematics: B+, geography: C+",debate team,research
Quinn Moore,14,9th grade,"chemistry, literature","biology, mathematics",kinesthetic hands-on learning,5,"improve grades in biology, excel in literature",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",challenging,20,"literature: A-, biology: C+",robotics club,engineering
Jordan Wilson,18,13th grade,"computer science, biology, chemistry, history",mathematics,practical problem-solving approach,15,"improve grades in mathematics, excel in history",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,78,"computer science: A-, mathematics: B-",science olympiad,education
Casey Brown,18,13th grade,"physics, computer science, mathematics",history,kinesthetic hands-on learning,20,"improve grades in history, excel in physics",want to help others through science,"good at connecting concepts, but should work on time management",challenging,31,"physics: B+, history: C+",science olympiad,education
Morgan Wilson,17,12th grade,"chemistry, computer science, literature, music","geography, history",auditory learning through discussions,6,"improve grades in history, excel in chemistry",enjoy understanding how things work,"good at connecting concepts, but needs more practice with history",easy,83,"computer science: B+, history: C+",art club,research
Alex Taylor,18,13th grade,"chemistry, computer science, geography, music",biology,visual learning with diagrams and charts,11,"improve grades in biology, excel in chemistry",want to become an engineer,"excellent understanding of music, but needs to show more work in calculations",medium,20,"chemistry: A, biology: C",science olympiad,education
Avery Smith,18,13th grade,"physics, computer science",literature,kinesthetic hands-on learning,12,"improve grades in literature, excel in computer science",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,53,"computer science: A, literature: B-",chess club,research
Casey Wilson,18,13th grade,"biology, computer science",art,kinesthetic hands-on learning,7,"improve grades in art, excel in computer science",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with art",easy,87,"computer science: B+, art: B-",science olympiad,technology
Alex Moore,16,11th grade,"geography, history, art","mathematics, computer science",visual learning with diagrams and charts,9,"improve grades in computer science, excel in geography",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",easy,70,"geography: B+, computer science: C+",chess club,education
Jordan Wilson,17,12th grade,"physics, mathematics","biology, computer science",mixed visual and auditory,20,"improve grades in computer science, excel in physics",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,48,"physics: B+, computer science: C",robotics club,technology
Jordan Smith,18,13th grade,"biology, physics, art, mathematics",geography,auditory learning through discussions,11,"improve grades in geography, excel in mathematics",want to become an engineer,"excellent understanding of mathematics, but needs more practice with geography",medium,71,"mathematics: A, geography: B-",science olympiad,education
Casey Brown,17,12th grade,"music, physics, history, art","mathematics, chemistry, literature",mixed visual and auditory,22,"improve grades in mathematics, excel in art",enjoy understanding how things work,"excellent understanding of history, but needs to show more work in calculations",medium,55,"art: B+, chemistry: C+",chess club,technology
Avery Johnson,17,12th grade,"mathematics, computer science","chemistry, history",mixed visual and auditory,14,"improve grades in chemistry, excel in computer science",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,21,"mathematics: B+, history: B-",debate team,research
Riley Taylor,18,13th grade,"art, physics, chemistry","biology, computer science, history",practical problem-solving approach,9,"improve grades in computer science, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,43,"chemistry: B+, history: B-",art club,research
Taylor Davis,15,10th grade,"literature, music, history, mathematics",physics,visual learning with diagrams and charts,8,"improve grades in physics, excel in mathematics",love solving complex problems,"excellent understanding of music, but should work on time management",challenging,69,"mathematics: A, physics: B-",science olympiad,engineering
Jordan Taylor,14,9th grade,"physics, geography, literature, computer science","mathematics, chemistry, biology",reading and writing focused,9,"improve grades in biology, excel in geography",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,45,"geography: B+, chemistry: C+",robotics club,education
Riley Moore,14,9th grade,"physics, biology, mathematics, history",chemistry,mixed visual and auditory,22,"improve grades in chemistry, excel in mathematics",interested in medical career,"shows strong analytical thinking, but needs to show more work in calculations",challenging,65,"mathematics: A, chemistry: C",chess club,technology
Casey Johnson,14,9th grade,"physics, chemistry, computer science, mathematics",geography,mixed visual and auditory,22,"improve grades in geography, excel in physics",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,40,"computer science: B+, geography: B-",debate team,education
Morgan Johnson,18,13th grade,"computer science, history, mathematics, music","physics, geography, literature",visual learning with diagrams and charts,15,"improve grades in geography, excel in mathematics",interested in medical career,"shows strong analytical thinking, but should work on time management",challenging,62,"computer science: A-, physics: C+",art club,education
Alex Smith,14,9th grade,"physics, history, music","computer science, chemistry, biology",visual learning with diagrams and charts,20,"improve grades in biology, excel in physics",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,22,"physics: A, computer science: B-",art club,technology
Avery Moore,14,9th grade,"geography, mathematics, history, music","art, chemistry",mixed visual and auditory,9,"improve grades in art, excel in music",want to become an engineer,"shows strong analytical thinking, but could improve explanation clarity",medium,27,"mathematics: A, art: B-",robotics club,medicine
Alex Brown,17,12th grade,"art, mathematics, music, history","chemistry, physics, literature",reading and writing focused,10,"improve grades in physics, excel in art",love solving complex problems,"shows strong analytical thinking, but could improve explanation clarity",easy,70,"history: A, literature: B-",robotics club,engineering
Morgan Miller,16,11th grade,"biology, geography, literature, history",computer science,mixed visual and auditory,14,"improve grades in computer science, excel in literature",love solving complex problems,"good at connecting concepts, but needs to show more work in calculations",challenging,82,"literature: A, computer science: C+",art club,medicine
Quinn Taylor,16,11th grade,"art, biology, physics, chemistry","computer science, mathematics, music",visual learning with diagrams and charts,5,"improve grades in mathematics, excel in art",love solving complex problems,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,27,"physics: A-, music: C",robotics club,technology
Avery Johnson,17,12th grade,"mathematics, biology, art","chemistry, geography",practical problem-solving approach,14,"improve grades in chemistry, excel in art",love solving complex problems,"good at connecting concepts, but should work on time management",easy,63,"art: A-, geography: B-",robotics club,engineering
Morgan Brown,18,13th grade,"computer science, art, geography","literature, history",reading and writing focused,19,"improve grades in literature, excel in computer science",want to become an engineer,"excellent understanding of art, but should work on time management",challenging,57,"art: A, history: B-",science olympiad,research
Taylor Taylor,16,11th grade,"computer science, mathematics, physics, chemistry","music, history, art",reading and writing focused,5,"improve grades in history, excel in computer science",enjoy understanding how things work,"demonstrates creativity in problem solving, but should work on time management",medium,27,"computer science: B+, history: B-",science olympiad,engineering
Casey Brown,17,12th grade,"computer science, music","art, physics",auditory learning through discussions,24,"improve grades in art, excel in computer science",want to become an engineer,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,90,"computer science: B+, art: C",science olympiad,engineering
Quinn Smith,16,11th grade,"mathematics, biology, literature, music",geography,mixed visual and auditory,7,"improve grades in geography, excel in biology",love solving complex problems,"excellent understanding of literature, but needs to show more work in calculations",medium,38,"mathematics: B+, geography: C",science olympiad,technology
Taylor Johnson,16,11th grade,"computer science, mathematics, chemistry","physics, literature",visual learning with diagrams and charts,24,"improve grades in physics, excel in mathematics",want to help others through science,"shows strong analytical thinking, but needs to show more work in calculations",challenging,24,"chemistry: A-, physics: B-",robotics club,engineering
Quinn Taylor,15,10th grade,"art, music, history, computer science","mathematics, literature, geography",kinesthetic hands-on learning,13,"improve grades in mathematics, excel in history",interested in medical career,"good at connecting concepts, but should work on time management",medium,60,"art: A, geography: C",chess club,research
Casey Taylor,14,9th grade,"art, music, physics","history, computer science",reading and writing focused,12,"improve grades in history, excel in physics",interested in medical career,"good at connecting concepts, but could improve explanation clarity",medium,60,"art: A-, history: C",art club,medicine
Jordan Moore,18,13th grade,"biology, chemistry, geography",physics,kinesthetic hands-on learning,22,"improve grades in physics, excel in geography",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with physics",challenging,41,"biology: B+, physics: B-",chess club,technology
Jordan Miller,16,11th grade,"history, art",computer science,kinesthetic hands-on learning,23,"improve grades in computer science, excel in history",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,75,"art: B+, computer science: C+",debate team,education
Quinn Moore,18,13th grade,"chemistry, mathematics","geography, music, art",kinesthetic hands-on learning,19,"improve grades in geography, excel in mathematics",want to become an engineer,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,86,"mathematics: A-, music: C",science olympiad,medicine
Riley Smith,15,10th grade,"biology, history","literature, music, art",kinesthetic hands-on learning,14,"improve grades in literature, excel in biology",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",easy,56,"history: A, art: C+",science olympiad,medicine
Alex Davis,14,9th grade,"art, music",mathematics,visual learning with diagrams and charts,20,"improve grades in mathematics, excel in music",interested in medical career,"demonstrates creativity in problem solving, but should work on time management",medium,57,"art: A-, mathematics: C",chess club,research
Casey Smith,14,9th grade,"computer science, physics","chemistry, geography",kinesthetic hands-on learning,10,"improve grades in geography, excel in physics",enjoy understanding how things work,"excellent understanding of computer science, but needs to show more work in calculations",easy,86,"physics: B+, chemistry: B-",robotics club,engineering
Morgan Taylor,15,10th grade,"music, history",biology,auditory learning through discussions,20,"improve grades in biology, excel in history",love solving complex problems,"excellent understanding of music, but should work on time management",easy,75,"music: B+, biology: B-",debate team,medicine
Taylor Wilson,14,9th grade,"computer science, history, biology","chemistry, literature, geography",auditory learning through discussions,14,"improve grades in geography, excel in history",enjoy understanding how things work,"good at connecting concepts, but needs to show more work in calculations",medium,32,"computer science: A-, chemistry: C",chess club,research
Riley Moore,15,10th grade,"history, physics, chemistry, biology","music, mathematics",practical problem-solving approach,9,"improve grades in mathematics, excel in biology",want to help others through science,"excellent understanding of biology, but could improve explanation clarity",medium,84,"physics: A, mathematics: B-",science olympiad,research
Morgan Taylor,16,11th grade,"history, geography, music","chemistry, mathematics",practical problem-solving approach,12,"improve grades in mathematics, excel in music",want to become an engineer,"demonstrates creativity in problem solving, but should work on time management",challenging,41,"music: B+, chemistry: C+",art club,education
